[Fri Mar 31 15:34:05.366728 2017] [:error] [pid 9660] [client 127.0.0.1:52330] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366730 2017] [:error] [pid 8813] [client 127.0.0.1:52270] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366730 2017] [:error] [pid 12409] [client 127.0.0.1:52355] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366739 2017] [:error] [pid 9660] [client 127.0.0.1:52330] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366742 2017] [:error] [pid 8813] [client 127.0.0.1:52270] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366752 2017] [:error] [pid 12409] [client 127.0.0.1:52355] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366756 2017] [:error] [pid 9660] [client 127.0.0.1:52330] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366757 2017] [:error] [pid 8813] [client 127.0.0.1:52270] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366757 2017] [:error] [pid 12409] [client 127.0.0.1:52355] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366760 2017] [:error] [pid 9660] [client 127.0.0.1:52330] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366761 2017] [:error] [pid 8813] [client 127.0.0.1:52270] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366762 2017] [:error] [pid 12409] [client 127.0.0.1:52355] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
